kernel,case_id,block_size,mean_ms,std_ms,num_runs
Basic,10,4,120.09001479999999,1.8618402206589302,10
Basic,10,8,58.3995905,1.3177748888720842,10
Basic,10,16,45.3405649,0.04485513202757432,10
Basic,10,32,43.1886033,0.07292226881496705,10
Basic,11,4,118.71723320000001,1.7412964806495848,10
Basic,11,8,58.467231000000005,0.2669805490796822,10
Basic,11,16,52.84898510000001,0.1488754785669698,10
Basic,11,32,56.0972481,0.159895129142996,10
Basic,12,4,481.80686230000003,2.3079889494203925,10
Basic,12,8,235.870026,2.556685349138303,10
Basic,12,16,183.0206913,3.1513647273291014,10
Basic,12,32,171.2694482,2.878150413723128,10
Basic,13,4,485.71598359999996,2.6710388432215817,10
Basic,13,8,242.8954486,3.3445001356433934,10
Basic,13,16,201.25121719999999,3.5097330425167015,10
Basic,13,32,214.4699592,3.0597274172860165,10
Tiled,10,4,250.98496880000002,0.03085606143153485,10
Tiled,10,8,38.380053600000004,0.0424534566874257,10
Tiled,10,16,14.246385100000001,0.027367682004916342,10
Tiled,10,32,11.0530485,0.6271552314358771,10
Tiled,11,4,257.90949850000004,3.4143948638582207,10
Tiled,11,8,38.2338655,0.17807783288104964,10
Tiled,11,16,16.195805,0.05633411478353428,10
Tiled,11,32,12.1484019,0.03555780107390099,10
Tiled,12,4,954.2532794000001,8.948058599134718,10
Tiled,12,8,143.54430259999998,2.9136076010545673,10
Tiled,12,16,59.303078400000004,3.440557347443811,10
Tiled,12,32,45.7563903,0.033216186221814215,10
Tiled,13,4,956.1060399,6.84073901401695,10
Tiled,13,8,144.59077059999998,3.4843367182537897,10
Tiled,13,16,59.167190000000005,2.79332506263342,10
Tiled,13,32,45.786787700000005,0.02987253015378692,10
